order_item_id,order_id,product_id,quantity,unit_price
1,1,17,2,33.67
2,1,105,3,60.01
3,1,876,1,15.07
4,1,1215,2,81.7
5,2,496,2,177.5
6,2,817,2,57.97
7,2,131,1,1169.94
8,2,1307,2,104.25
9,2,85,3,73.93
10,3,1108,2,138.98
11,4,1372,3,553.52
12,4,837,1,5.8
13,4,707,3,25.6
14,4,347,1,167.31
15,5,226,3,44.35
16,5,1487,1,81.08
17,5,824,2,347.95
18,5,1102,1,25.85
19,5,1257,2,12.85
20,6,1264,3,12.38
21,6,446,1,296.13
22,7,27,3,155.17
23,7,1469,1,227.73
24,7,518,3,248.64
25,7,997,1,568.42
26,7,1081,1,135.46
27,8,532,3,57.23
28,8,512,2,42.55
29,9,1497,1,18.26
30,9,253,3,31.02
31,9,1460,1,26.68
32,9,120,1,191.33
33,9,423,1,94.09
34,10,1236,1,188.73
35,10,1247,1,39.96
36,10,865,2,165.48
37,10,1198,1,687.72
38,11,1038,1,42.67
39,12,860,1,28.24
40,12,1485,1,5.72
41,13,283,2,1160.27
42,13,1086,3,1315.81
43,13,901,3,43.07
44,13,548,3,29.13
45,14,965,2,17.3
46,15,233,2,278.35
47,16,178,3,11.83
48,17,1348,1,323.39
49,17,242,2,1366.53
50,18,501,3,25.07
51,18,1353,1,124.93
52,19,786,1,25.71
53,19,768,3,164.9
54,19,921,3,87.13
55,20,1426,1,19.83
56,20,736,2,197.62
57,20,307,3,942.24
58,21,888,1,13.55
59,21,89,3,15.75
60,21,247,2,47.69
61,22,852,2,188.94
62,22,545,2,980.45
63,22,1047,2,72.09
64,22,931,3,102.51
65,23,742,3,33.78
66,23,445,3,12.31
67,23,57,3,182.24
68,24,47,2,165.3
69,25,651,2,19.42
70,25,407,1,241.74
71,25,1426,2,19.83
72,25,546,2,31.57
73,25,1294,2,78.73
74,26,1097,1,1277.44
75,26,1125,2,4.28
76,26,531,2,35.14
77,27,537,1,34.2
78,28,337,1,33.07
79,29,1409,1,1.36
80,29,742,1,33.78
81,30,657,2,59.16
82,30,777,3,17.11
83,30,1083,1,24.93
84,30,628,2,32.41
85,30,968,3,161.84
86,31,957,1,37.43
87,31,978,1,10.84
88,31,1450,1,15.5
89,31,1284,2,179.82
90,32,153,2,43.43
91,32,1078,3,74.41
92,32,638,2,6.25
93,32,319,1,366.76
94,33,949,2,12.06
95,33,654,2,166.55
96,33,301,3,31.63
97,33,56,3,74.92
98,34,1028,2,827.19
99,34,1111,2,264.45
100,34,819,2,509.29
101,35,299,2,71.26
102,35,199,1,654.47
103,36,120,2,191.33
104,37,762,1,28.52
105,37,314,2,23.94
106,37,620,3,12.02
107,37,12,3,5.27
108,37,1396,2,187.65
109,38,1470,3,1170.99
110,38,740,3,11.14
111,38,38,3,55.13
112,38,1151,3,158.95
113,39,878,2,4.08
114,39,826,2,394.31
115,39,1111,3,264.45
116,39,310,2,100.22
117,39,1039,1,43.18
118,40,530,2,153.6
119,40,747,1,17.7
120,40,1158,1,21.75
121,40,1412,2,44.5
122,41,568,1,24.42
123,41,754,3,146.89
124,41,914,1,206.57
125,41,1086,1,1315.81
126,42,772,1,538.09
127,42,301,3,31.63
128,42,1249,2,171.17
129,42,302,3,76.02
130,43,945,3,261.36
131,43,878,1,4.08
132,44,378,2,678.43
133,44,1280,2,88.47
134,44,708,3,211.43
135,45,1119,1,27.39
136,45,457,3,572.37
137,45,1024,3,100.65
138,45,227,1,223.28
139,46,883,2,26.57
140,47,150,1,292.89
141,47,1058,2,15.31
142,47,646,2,10.81
143,47,531,1,35.14
144,48,1098,2,18.12
145,48,943,3,397.3
146,48,143,3,173.59
147,49,308,2,10.92
148,49,1423,2,268.39
149,49,378,1,678.43
150,49,794,2,14.25
151,50,1366,3,102.09
152,50,1107,1,29.06
153,50,1401,1,49.32
154,50,189,2,20.27
155,50,1308,2,282.9
156,51,268,2,68.25
157,51,56,3,74.92
158,51,833,1,141.63
159,51,313,2,1252.48
160,51,1346,2,19.42
161,52,1132,1,1100.66
162,53,1294,3,78.73
163,53,1174,1,67.95
164,53,1140,1,3.3
165,54,866,1,57.08
166,54,1374,2,92.86
167,54,209,1,19.95
168,54,244,1,569.71
169,54,344,1,75.33
170,55,969,3,105.7
171,55,89,3,15.75
172,56,277,1,56.13
173,56,428,1,35.03
174,56,963,1,48.99
175,56,426,3,40.16
176,56,56,3,74.92
177,57,1393,1,49.94
178,58,1160,2,379.45
179,58,120,3,191.33
180,58,440,2,39.56
181,59,733,3,72.06
182,59,1232,2,63.18
183,59,862,1,38.86
184,59,799,2,13.11
185,59,239,3,17.64
186,60,130,2,76.34
187,60,763,1,84.0
188,61,136,3,239.89
189,61,1036,2,45.67
190,61,1243,2,32.53
191,61,149,1,215.14
192,62,1031,1,626.56
193,62,1307,3,104.25
194,62,403,3,24.17
195,62,1409,2,1.36
196,62,1365,1,7.05
197,63,442,2,36.38
198,63,1489,1,8.24
199,63,343,2,174.91
200,63,1023,1,48.5
201,64,937,2,49.5
202,64,215,3,15.38
203,64,568,2,24.42
204,64,600,2,179.7
205,64,165,3,232.0
206,65,117,3,43.33
207,65,391,2,16.14
208,65,235,1,275.53
